ID;case;order;nv;HT;C;NT;ST;HM;SHM;SH;SHT;CS;NTS;STS;Score3;Score3W1;Score3W2;Score3WEXP2
1;A;P;D;61,13;32;50,01732;67,05101;6;0,857142857;0,52725134;0,197359822;0,428571429;0,879209099;0,64102811;0,619014994;0,560355368;0,529138447;0,531025554
1;B;S;I;52,80685;24;76,6879;102,9906;6;0,857142857;0,601560136;0,345977416;0,619047619;0,39359362;0,293625889;0,476956816;0,511617902;0,565254291;0,528948445
2;A;S;I;53,95864;8;50,11547;48,25324;7;1;0,662705566;0,325411133;1;0,877421993;0,82273266;0,840715055;0,818264575;0,771305878;0,787035948
2;B;P;D;25,51905;24;48,67157;38,64608;7;1;0,916613248;0,833226495;0,619047619;0,903712392;0,91559818;0,83874286;0,840808413;0,883099259;0,841968074
3;A;P;I;72,1829;17;49,38433;115,3399;7;1;0,5;0;0,785714286;0,890734523;0,17425407;0,58767572;0,611485244;0,761791878;0,489992089
3;B;S;D;47,38525;19;45,92057;40,69289;6;0,857142857;0,649963995;0,442785132;0,738095238;0,953802348;0,895813137;0,80941868;0,81676295;0,865663531;0,733459091
4;A;P;I;41,35565;12;61,94137;67,99757;7;1;0,775224628;0,550449255;0,904761905;0,662097089;0,631878394;0,743490504;0,759826869;0,756228611;0,771772388
4;B;S;D;30,92352;16;46,12609;29,91451;7;1;0,868362325;0,736724651;0,80952381;0,950060259;1;0,906986599;0,897531921;0,899166325;0,886562115
5;A;P;D;30,88545;27;45,62636;108,2552;5;0,714285714;0,72584507;0,737404426;0,547619048;0,959159297;0,24273678;0,618840049;0,624804052;0,538233239;0,560511492
5;B;S;I;38,66585;16;52,646;93,66302;7;1;0,799239069;0,598478139;0,80952381;0,831346335;0,38378891;0,705974531;0,738776834;0,699233307;0,697947715
6;A;P;D;21,94079;24;44,68562;46,08783;7;1;0,94855983;0,89711966;0,619047619;0,976288205;0,843664124;0,846889945;0,858675893;0,860040599;0,839957851
6;B;S;I;40,4101;16;56,70128;31,4601;7;1;0,783666465;0,567332931;0,80952381;0,757508168;0,985059891;0,833939583;0,855107165;0,84329328;0,840479158
7;A;S;D;29,48413;20;85,2821;45,14768;5;0,714285714;0,738356007;0,7624263;0,714285714;0,237111213;0,852751879;0,635626204;0,614554367;0,679653262;0,760937402
7;B;P;I;66,00269;11;48,36657;62,4473;7;1;0,555176702;0,110353405;0,928571429;0,909265804;0,68552887;0,769635701;0,779026567;0,677724702;0,681113426
8;A;P;I;63,4382;14;84,52299;70,8684;7;1;0,578072381;0,156144762;0,857142857;0,250933019;0,60412814;0,572569099;0,570397786;0,584586321;0,65435394
8;B;S;D;40,21124;25;45,09259;37,3886;6;0,857142857;0,714013309;0,570883761;0,595238095;0,968878132;0,927753337;0,801470718;0,783659049;0,767448316;0,737754513
9;A;S;D;24,1932;25;43,85336;37,38485;7;1;0,928450391;0,856900782;0,595238095;0,991441919;0,927789585;0,860729998;0,86067493;0,834389372;0,844982116
9;B;P;I;24,47827;10;55,62088;36,49298;7;1;0,925905296;0,851810591;0,952380952;0,777179992;0,936410652;0,897969223;0,898844669;0,925278676;0,935150549
10;A;S;D;49,01208;10;47,79912;68,17558;7;1;0,706868284;0,413736568;0,952380952;0,919597882;0,630157699;0,802251204;0,766796271;0,808699899;0,749068805
10;B;P;I;68,12102;15;64,95911;117,8638;7;1;0,536264325;0,07252865;0,833333333;0,607150355;0,14985734;0,531651338;0,519837;0,618032111;0,513929831
11;A;S;I;26,86424;13;58,21259;69,06125;7;1;0,904603438;0,809206875;0,880952381;0,729990373;0,621596562;0,784285689;0,80632597;0,817336269;0,827938955
11;B;P;D;23,46826;14;43,38334;33,45134;7;1;0,93492263;0,869845261;0,857142857;1;0,965812003;0,939469373;0,932255792;0,936411465;0,92320003
12;A;S;I;25,76;17;98,30453;133,3669;6;0,857142857;0,843033483;0,828924109;0,785714286;0;0;0,407186942;0,472663133;0,569412947;0,617945313
12;B;P;D;16,1791;50;79,5539;117,1587;7;1;1;1;0;0,341409755;0,156673036;0,374520698;0,361464611;0,240402787;0,539168259
